Drug,BP,VP,EV,FP,MR,ST,MV
Apixaban,770.5,0.0,112.2,419.8,125.6,61.0,323.4
Aspirin,321.4,0.0,59.5,131.2,44.5,49.9,139.6
Atenolol,508.0,0.0,81.9,261.1,74.3,45.0,236.7
Candesartan,754.8,0.0,115.4,410.3,122.5,59.6,310.5
Captopril,427.0,0.0,74.8,212.1,54.4,54.3,170.7
Carvedilol,655.2,0.0,101.4,350.1,119.6,53.9,325.1
Dipyridamole,806.5,0.0,122.9,441.5,139.4,81.6,373.0
Edoxaban,, , , ,139.1,73.3,383.2
Quinapril,662.0,0.0,102.3,354.1,119.5,52.3,360.1
Ramipril,616.2,0.0,96.1,326.4,111.4,50.2,346.8
Rivaroxaban,732.6,0.0,106.9,396.9,106.7,61.0,298.5
Ticagrelor,777.6,0.0,118.7,424.0,126.3,63.3,311.9
Warfarin,515.2,0.0,82.9,188.8,84.4,58.7,235.8
