model_id,property,index,equation,n,r,R2,adjusted_R2,p_value,slope,intercept,std_err,RMSE,MAE,MAPE_percent,model_quality
BP__SCI,BP,SCI,BP = (34.0506)*SCI + (160.692),12,0.9647394245067764,0.9307221571976662,0.9237943729174327,4.04578062329735e-07,34.05062278159375,160.69247157911263,2.937732250568035,39.12271569314417,35.05105011841687,6.369950608133293,excellent
BP__RR,BP,RR,BP = (6.36367)*RR + (190.065),12,0.9636864606215548,0.9286915943852998,0.9215607538238297,4.678704059790178e-07,6.363672803738247,190.06493542673212,0.5576252711823535,39.691926518654256,34.735362639006176,6.372439512784343,excellent
BP__M1,BP,M1,BP = (3.16449)*M1 + (182.196),12,0.963381821111036,0.928104533247216,0.9209149865719376,4.875765135937696e-07,3.1644889099911824,182.19631553957805,0.2785196782594678,39.854977599236776,35.06146804133035,6.392431611793385,excellent
BP__RI,BP,RI,BP = (36.6222)*RI + (143.555),12,0.9628881653271276,0.9271536189270416,0.9198689808197458,5.209053187846917e-07,36.62216106681907,143.5552823362804,3.2461763556885006,40.11767966761233,35.50109660493531,6.380294649871643,excellent
BP__H,BP,H,BP = (36.7355)*H + (157.069),12,0.9628047372174122,0.9269929620082902,0.9196922582091192,5.267124353472323e-07,36.7355251223272,157.0692550954417,3.260096070318899,40.161893484662784,35.15102671471625,6.37276066717676,excellent
BP__M2,BP,M2,BP = (2.50712)*M2 + (212.735),12,0.9580699458497938,0.9178980211406268,0.9096878232546894,9.512245266910622e-07,2.5071159210662257,212.73542376967316,0.2371122602593948,42.59009688336493,36.198968413862765,6.592222667145496,excellent
BP__HM,BP,HM,BP = (0.61922)*HM + (201.139),12,0.9576795447487644,0.9171501104302006,0.9088651214732206,9.956814069970005e-07,0.6192196237832248,201.1391099030888,0.0588532522075103,42.78364505218653,36.774697861601084,6.632080284969423,excellent
BP__F,BP,F,BP = (1.22227)*F + (190.324),12,0.9567477425756692,0.9153662429236388,0.9069028672160027,1.1084778698270817e-06,1.2222737728566415,190.3240945066084,0.1175284089818192,43.24178627136184,37.78600140356347,6.741254399767478,excellent
BP__RM2,BP,RM2,BP = (6.75205)*RM2 + (260.93),12,0.9462517573730116,0.895392388331513,0.8849316271646643,3.2267444548868846e-06,6.752045323602842,260.9301965303117,0.7298108121085393,48.07435420260499,37.5721208629409,6.869376701796388,good
BP__HF,BP,HF,BP = (0.0848074)*HF + (226.52),12,0.937113132612045,0.8781810233139602,0.8659991256453562,6.9659193542637154e-06,0.0848074212962955,226.51958718596055,0.0099884777702389,51.878724403366604,44.22892397762322,7.70520510811457,good
