index_code,index_title,index_symbol,property,equation,slope,intercept,n,R2,p_value
RI,Randic Index R(G),R(G),BP,BP=143.5553 + 36.6222[R(G)],36.62216106681907,143.5552823362804,12,0.9271536189270416,5.209053187846917e-07
RI,Randic Index R(G),R(G),VP,VP=0.0000 + 0.0000[R(G)],0.0,0.0,12,,
RI,Randic Index R(G),R(G),EV,EV=36.9284 + 4.6018[R(G)],4.601773233281971,36.92837537481543,12,0.9299709892382316,4.271350501875547e-07
RI,Randic Index R(G),R(G),FP,FP=12.0840 + 23.7131[R(G)],23.713065114052284,12.083976626925905,12,0.8645769574629814,1.1902530590636717e-05
RI,Randic Index R(G),R(G),MR,MR=2.7190 + 7.5428[R(G)],7.542809150292935,2.7189909610288083,13,0.9857706152563788,1.6464232309916762e-11
RI,Randic Index R(G),R(G),ST,ST=37.4027 + 1.5731[R(G)],1.5730655659465378,37.402731608648466,13,0.4171120759859112,0.0171017142335997
RI,Randic Index R(G),R(G),MV,MV=55.8737 + 17.4873[R(G)],17.487327350950498,55.87374196707688,13,0.8830814268037027,1.8510320402484548e-06
RR,Reciprocal Randic Index RR(G),RR(G),BP,BP=190.0649 + 6.3637[RR(G)],6.363672803738247,190.06493542673212,12,0.9286915943852998,4.678704059790178e-07
RR,Reciprocal Randic Index RR(G),RR(G),VP,VP=0.0000 + 0.0000[RR(G)],0.0,0.0,12,,
RR,Reciprocal Randic Index RR(G),RR(G),EV,EV=42.9952 + 0.7964[RR(G)],0.7964009320540947,42.99524965293726,12,0.9240055140650608,6.445230187331367e-07
RR,Reciprocal Randic Index RR(G),RR(G),FP,FP=44.2163 + 4.0913[RR(G)],4.091267457497838,44.21626505574778,12,0.853760547394558,1.7568338171121384e-05
RR,Reciprocal Randic Index RR(G),RR(G),MR,MR=13.7552 + 1.2905[RR(G)],1.2904550647094457,13.755184667723526,13,0.9554852269424612,8.841031296759144e-09
RR,Reciprocal Randic Index RR(G),RR(G),ST,ST=39.4925 + 0.2721[RR(G)],0.2721161437059863,39.49248273352086,13,0.4133294059874505,0.0177807460929891
RR,Reciprocal Randic Index RR(G),RR(G),MV,MV=86.3567 + 2.9227[RR(G)],2.922710745922361,86.35673148494197,13,0.8168722028629312,2.2554042655807243e-05
H,Harmonic Index H(G),H(G),BP,BP=157.0693 + 36.7355[H(G)],36.7355251223272,157.0692550954417,12,0.9269929620082902,5.267124353472323e-07
H,Harmonic Index H(G),H(G),VP,VP=0.0000 + 0.0000[H(G)],0.0,0.0,12,,
H,Harmonic Index H(G),H(G),EV,EV=38.5779 + 4.6198[H(G)],4.619801347938028,38.57788490870711,12,0.9313346201264012,3.86902714312637e-07
H,Harmonic Index H(G),H(G),FP,FP=21.0265 + 23.7715[H(G)],23.771507420980488,21.02652690385071,12,0.8633400438689158,1.2463408156837515e-05
H,Harmonic Index H(G),H(G),MR,MR=5.0209 + 7.6195[H(G)],7.61951384111783,5.02085390448147,13,0.9850667066396532,2.1478532583841065e-11
H,Harmonic Index H(G),H(G),ST,ST=37.8458 + 1.5919[H(G)],1.591876827922437,37.84578365747114,13,0.4182919657840772,0.0168945507437542
H,Harmonic Index H(G),H(G),MV,MV=62.0405 + 17.6020[H(G)],17.60202883627816,62.04050289119385,13,0.876154738361907,2.548676534871014e-06
SCI,Sum Connectivity Index SC(G),SC(G),BP,BP=160.6925 + 34.0506[SC(G)],34.05062278159375,160.69247157911263,12,0.9307221571976662,4.04578062329735e-07
SCI,Sum Connectivity Index SC(G),SC(G),VP,VP=0.0000 + 0.0000[SC(G)],0.0,0.0,12,,
SCI,Sum Connectivity Index SC(G),SC(G),EV,EV=39.1562 + 4.2732[SC(G)],4.2732324927534835,39.156189444997715,12,0.931189757711286,3.910262912869255e-07
SCI,Sum Connectivity Index SC(G),SC(G),FP,FP=23.8843 + 21.9968[SC(G)],21.99678767068913,23.884329621787177,12,0.863879100197375,1.221641486510857e-05
SCI,Sum Connectivity Index SC(G),SC(G),MR,MR=6.5075 + 7.0001[SC(G)],7.000086090410705,6.507499924490659,13,0.9805848637352814,9.115014262734822e-11
SCI,Sum Connectivity Index SC(G),SC(G),ST,ST=38.1879 + 1.4602[SC(G)],1.4602282734842655,38.18791750544568,13,0.415115943502398,0.017457193243777
SCI,Sum Connectivity Index SC(G),SC(G),MV,MV=66.3474 + 16.1092[SC(G)],16.10918563832468,66.34744862641793,13,0.8655055092364303,4.0323691910110354e-06
M1,First Zagreb Index M1(G),M1(G),BP,BP=182.1963 + 3.1645[M1(G)],3.1644889099911824,182.19631553957805,12,0.928104533247216,4.875765135937696e-07
M1,First Zagreb Index M1(G),M1(G),VP,VP=0.0000 + 0.0000[M1(G)],0.0,0.0,12,,
M1,First Zagreb Index M1(G),M1(G),EV,EV=42.0504 + 0.3957[M1(G)],0.3957471342331954,42.050362884080585,12,0.9221052774293276,7.298552753217038e-07
M1,First Zagreb Index M1(G),M1(G),FP,FP=39.0449 + 2.0353[M1(G)],2.0352784372244455,39.044860611815864,12,0.8538899630527801,1.7489658511425854e-05
M1,First Zagreb Index M1(G),M1(G),MR,MR=12.5181 + 0.6382[M1(G)],0.6382230936621633,12.518061474295052,13,0.9545653234511576,9.89776006348544e-09
M1,First Zagreb Index M1(G),M1(G),ST,ST=39.2673 + 0.1343[M1(G)],0.1343350485084776,39.267340647384174,13,0.4114232037880717,0.0181316781299866
M1,First Zagreb Index M1(G),M1(G),MV,MV=83.0337 + 1.4491[M1(G)],1.4490791322876055,83.03373832623083,13,0.8201420325324769,2.03926672252661e-05
M2,Second Zagreb Index M2(G),M2(G),BP,BP=212.7354 + 2.5071[M2(G)],2.5071159210662257,212.73542376967316,12,0.9178980211406268,9.512245266910622e-07
M2,Second Zagreb Index M2(G),M2(G),VP,VP=0.0000 + 0.0000[M2(G)],0.0,0.0,12,,
M2,Second Zagreb Index M2(G),M2(G),EV,EV=45.8408 + 0.3137[M2(G)],0.313710094017977,45.84079105968248,12,0.9129727227553432,1.2757160570650016e-06
M2,Second Zagreb Index M2(G),M2(G),FP,FP=59.5784 + 1.6071[M2(G)],1.6071081723318523,59.57837672624589,12,0.8388809474213305,2.872447165671118e-05
M2,Second Zagreb Index M2(G),M2(G),MR,MR=18.7137 + 0.5070[M2(G)],0.5069530546670863,18.71370190372329,13,0.932623858168227,8.728336863771669e-08
M2,Second Zagreb Index M2(G),M2(G),ST,ST=40.2983 + 0.1083[M2(G)],0.1083060083292468,40.298251809671584,13,0.4141194394127818,0.01763703234358
M2,Second Zagreb Index M2(G),M2(G),MV,MV=99.8034 + 1.1352[M2(G)],1.1351919825510333,99.80339866936988,13,0.7793883404612307,6.403411781299385e-05
HM,Hyper Zagreb Index HM(G),HM(G),BP,BP=201.1391 + 0.6192[HM(G)],0.6192196237832248,201.1391099030888,12,0.9171501104302006,9.956814069970005e-07
