Table,Index,Properties,N,a,b,r,r2,F,p,Indicator,index_code
3,Randic Index R(G),BP,12,143.5552823362804,36.62216106681907,0.9628881653271276,0.9271536189270416,127.27517898225616,5.209053187846917e-07,Significant,RI
3,Randic Index R(G),EV,12,36.92837537481543,4.601773233281971,0.9643500346027016,0.9299709892382316,132.79796174786748,4.271350501875547e-07,Significant,RI
3,Randic Index R(G),FP,12,12.083976626925905,23.713065114052284,0.9298263049962512,0.8645769574629814,63.84267708552216,1.1902530590636717e-05,Significant,RI
3,Randic Index R(G),MR,13,2.7189909610288083,7.542809150292935,0.9928598165181118,0.9857706152563788,762.0481815056055,1.6464232309916762e-11,Significant,RI
3,Randic Index R(G),MV,13,55.87374196707688,17.487327350950498,0.9397241227103318,0.8830814268037027,83.08257130825439,1.8510320402484548e-06,Significant,RI
3,Randic Index R(G),ST,13,37.402731608648466,1.5730655659465378,0.6458421447891979,0.4171120759859112,7.871552397668344,0.0171017142335997,Significant,RI
3,Randic Index R(G),VP,12,0.0,0.0,,,,,Undefined,RI
4,Reciprocal Randic Index RR(G),BP,12,190.06493542673212,6.363672803738247,0.9636864606215548,0.9286915943852998,130.23592189163327,4.678704059790178e-07,Significant,RR
4,Reciprocal Randic Index RR(G),EV,12,42.99524965293726,0.7964009320540947,0.9612520554282632,0.9240055140650608,121.58849457263591,6.445230187331367e-07,Significant,RR
4,Reciprocal Randic Index RR(G),FP,12,44.21626505574778,4.091267457497838,0.9239916381626828,0.853760547394558,58.38099994110529,1.7568338171121384e-05,Significant,RR
4,Reciprocal Randic Index RR(G),MR,13,13.755184667723526,1.2904550647094457,0.9774892464587328,0.9554852269424612,236.10897628932406,8.841031296759144e-09,Significant,RR
4,Reciprocal Randic Index RR(G),MV,13,86.35673148494197,2.922710745922361,0.9038098267129712,0.8168722028629312,49.067341888935836,2.2554042655807243e-05,Significant,RR
4,Reciprocal Randic Index RR(G),ST,13,39.49248273352086,0.2721161437059863,0.6429069963746316,0.4133294059874505,7.749874481973266,0.0177807460929891,Significant,RR
4,Reciprocal Randic Index RR(G),VP,12,0.0,0.0,,,,,Undefined,RR
5,Harmonic Index H(G),BP,12,157.0692550954417,36.7355251223272,0.9628047372174122,0.9269929620082902,126.97309567791987,5.267124353472323e-07,Significant,H
5,Harmonic Index H(G),EV,12,38.57788490870711,4.619801347938028,0.9650567963215436,0.9313346201264012,135.63379709554204,3.86902714312637e-07,Significant,H
5,Harmonic Index H(G),FP,12,21.02652690385071,23.771507420980488,0.9291609353975854,0.8633400438689158,63.17432467494724,1.2463408156837515e-05,Significant,H
5,Harmonic Index H(G),MR,13,5.02085390448147,7.61951384111783,0.9925052678145608,0.9850667066396532,725.609114584793,2.1478532583841065e-11,Significant,H
5,Harmonic Index H(G),MV,13,62.04050289119385,17.60202883627816,0.9360313768041684,0.876154738361907,77.82051565400032,2.548676534871014e-06,Significant,H
5,Harmonic Index H(G),ST,13,37.84578365747114,1.591876827922437,0.6467549503359655,0.4182919657840772,7.909829936983362,0.0168945507437542,Significant,H
5,Harmonic Index H(G),VP,12,0.0,0.0,,,,,Undefined,H
6,Sum Connectivity Index SC(G),BP,12,160.69247157911263,34.05062278159375,0.9647394245067764,0.9307221571976662,134.34629595110775,4.04578062329735e-07,Significant,SCI
6,Sum Connectivity Index SC(G),EV,12,39.156189444997715,4.2732324927534835,0.9649817395740118,0.931189757711286,135.3272022795967,3.910262912869255e-07,Significant,SCI
6,Sum Connectivity Index SC(G),FP,12,23.884329621787177,21.99678767068913,0.9294509670753884,0.863879100197375,63.464104443182336,1.221641486510857e-05,Significant,SCI
6,Sum Connectivity Index SC(G),MR,13,6.507499924490659,7.000086090410705,0.99024485039574,0.9805848637352814,555.5682614852069,9.115014262734822e-11,Significant,SCI
6,Sum Connectivity Index SC(G),MV,13,66.34744862641793,16.10918563832468,0.9303254856427564,0.8655055092364303,70.78773671359596,4.0323691910110354e-06,Significant,SCI
6,Sum Connectivity Index SC(G),ST,13,38.18791750544568,1.4602282734842655,0.6442949196621047,0.415115943502398,7.8071462673647005,0.017457193243777,Significant,SCI
6,Sum Connectivity Index SC(G),VP,12,0.0,0.0,,,,,Undefined,SCI
7,First Zagreb Index M1(G),BP,12,182.19631553957805,3.1644889099911824,0.963381821111036,0.928104533247216,129.0908279987315,4.875765135937696e-07,Significant,M1
7,First Zagreb Index M1(G),EV,12,42.050362884080585,0.3957471342331954,0.9602631292668315,0.9221052774293276,118.37840189914262,7.298552753217038e-07,Significant,M1
7,First Zagreb Index M1(G),FP,12,39.044860611815864,2.0352784372244455,0.9240616662608508,0.8538899630527801,58.441567800111855,1.7489658511425854e-05,Significant,M1
7,First Zagreb Index M1(G),MR,13,12.518061474295052,0.6382230936621633,0.9770185891021508,0.9545653234511576,231.1058283132043,9.89776006348544e-09,Significant,M1
7,First Zagreb Index M1(G),MV,13,83.03373832623083,1.4490791322876055,0.905616934764626,0.8201420325324769,50.15937011234303,2.03926672252661e-05,Significant,M1
7,First Zagreb Index M1(G),ST,13,39.267340647384174,0.1343350485084776,0.6414227964362287,0.4114232037880717,7.68914994745943,0.0181316781299866,Significant,M1
7,First Zagreb Index M1(G),VP,12,0.0,0.0,,,,,Undefined,M1
8,Second Zagreb Index M2(G),BP,12,212.73542376967316,2.5071159210662257,0.9580699458497938,0.9178980211406268,111.79974391516565,9.512245266910622e-07,Significant,M2
8,Second Zagreb Index M2(G),EV,12,45.84079105968248,0.313710094017977,0.9554960610883456,0.9129727227553432,104.90650192223467,1.2757160570650016e-06,Significant,M2
8,Second Zagreb Index M2(G),FP,12,59.57837672624589,1.6071081723318523,0.9159044422980656,0.8388809474213305,52.06590617281158,2.872447165671118e-05,Significant,M2
8,Second Zagreb Index M2(G),MR,13,18.71370190372329,0.5069530546670863,0.9657245249905518,0.932623858168227,152.26253924520003,8.728336863771669e-08,Significant,M2
8,Second Zagreb Index M2(G),MV,13,99.80339866936988,1.1351919825510333,0.8828297346947659,0.7793883404612307,38.86137189211847,6.403411781299385e-05,Significant,M2
8,Second Zagreb Index M2(G),ST,13,40.298251809671584,0.1083060083292468,0.6435211258480811,0.4141194394127818,7.7751578392955825,0.01763703234358,Significant,M2
8,Second Zagreb Index M2(G),VP,12,0.0,0.0,,,,,Undefined,M2
9,Hyper Zagreb Index HM(G),BP,12,201.1391099030888,0.6192196237832248,0.9576795447487644,0.9171501104302006,110.70022123053275,9.956814069970005e-07,Significant,HM
