Drug,SMILES,RI,RR,H,SCI,M1,M2,HM,RM2,F,HF,edge_partition
Apixaban,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,16.47356554823633,91.08476293439627,16.0,17.368037106327627,186.0,226.0,936.0,78.0,484.0,6712.0,"{(1, 2): 1, (2, 3): 15, (2, 2): 8, (3, 3): 10, (1, 3): 4}"
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,6.109060905280622,28.726162201408222,5.766666666666667,6.105350962927558,60.0,66.0,284.0,19.0,152.0,1916.0,"{(1, 3): 4, (2, 3): 4, (2, 2): 3, (3, 3): 2}"
Atenolol,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,8.969234250586759,41.15515146567617,8.5,8.97213595499958,86.0,91.0,394.0,24.0,212.0,2446.0,"{(1, 3): 5, (2, 3): 10, (2, 2): 4}"
Candesartan,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,16.15219834319041,87.62066131925852,15.833333333333334,17.0515405253999,178.0,214.0,880.0,73.0,452.0,6056.0,"{(1, 2): 1, (2, 2): 11, (2, 3): 15, (3, 3): 8, (1, 3): 2}"
Captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,6.574586062669973,31.69088602099814,6.2,6.551984217544952,66.0,76.0,324.0,24.0,172.0,2356.0,"{(1, 3): 4, (2, 3): 3, (1, 2): 1, (3, 3): 4, (2, 2): 2}"
Carvedilol,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,14.758351493073059,75.98963102612329,14.533333333333333,15.432368463008395,154.0,180.0,738.0,59.0,378.0,4774.0,"{(1, 2): 1, (2, 3): 13, (2, 2): 13, (3, 3): 5, (1, 3): 1}"
Dipyridamole,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,17.69373310550133,89.84869013402323,17.400000000000002,18.322556638004873,182.0,215.0,880.0,72.0,450.0,5840.0,"{(2, 2): 12, (2, 3): 16, (3, 3): 7, (1, 2): 4}"
Edoxaban,CN1CCC2=C(C1)SC(=N2)C(=O)N[C@@H]3C[C@H](CC[C@@H]3NC(=O)C(=O)NC4=NC=C(C=C4)Cl)C(=O)N(C)C,17.600264543721995,93.74518080178093,16.8,18.28818884378225,194.0,226.0,958.0,72.0,506.0,6718.0,"{(1, 3): 8, (2, 3): 22, (2, 2): 4, (3, 3): 6}"
Quinapril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3=CC=CC=C3C[C@H]2C(=O)O,15.401085903164896,77.91783425639879,14.866666666666667,15.840616753472258,160.0,185.0,774.0,59.0,404.0,5242.0,"{(1, 2): 1, (2, 2): 9, (2, 3): 13, (1, 3): 5, (3, 3): 6}"
Ramipril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(=O)O,14.417922655570504,74.01885477083243,13.899999999999999,14.854437852936204,152.0,178.0,744.0,58.0,388.0,5164.0,"{(1, 2): 1, (2, 2): 8, (2, 3): 11, (1, 3): 5, (3, 3): 7}"
Rivaroxaban,C1COCC(=O)N1C2=CC=C(C=C2)N3C[C@@H](OC3=O)CNC(=O)C4=CC=C(S4)Cl,14.008040390846979,75.12003911480636,13.566666666666666,14.696658980318642,154.0,181.0,756.0,59.0,394.0,5172.0,"{(2, 2): 7, (2, 3): 16, (1, 3): 4, (3, 3): 5}"
Ticagrelor,CCCSC1=NC(=C2C(=N1)N(N=N2)[C@@H]3C[C@@H]([C@H]([C@H]3O)O)OCCO)N[C@@H]4C[C@H]4C5=CC(=C(C=C5)F)F,17.40541720081447,95.8474457251189,16.866666666666667,18.287028162017126,196.0,238.0,988.0,82.0,512.0,7116.0,"{(1, 2): 2, (2, 2): 6, (2, 3): 18, (3, 3): 10, (1, 3): 4}"
Warfarin,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,11.075387400469408,58.52412117254093,10.7,11.527198506782842,120.0,142.0,592.0,47.0,308.0,4144.0,"{(1, 3): 4, (2, 3): 8, (3, 3): 6, (2, 2): 7}"
